MonitoringStation,Group,MonitoringLocation,Parameter,Unit,UnitId,Date,Value,SourceColumn,DatasetName,DatasetID,Sheet,SensorID,SoilMoisture_pct,Evelation,latitude,Location,longitude,PlotType,Precision_m,descrip,plot,_generic_id,Coords,Description
25,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-27,20.41961734772239,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_5ACF,20.41961734772239,915.0,-25.1681767,Sensor 9_5acf,29.4179032,Butternut_plot15,4.2,Sensor 9 butternut field ,,25,"{""type"":""Point"",""coordinates"":[29.4179032,-25.1681767]}",
26,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-24,32.72127010006583,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_5ACF,32.72127010006583,915.0,-25.1681767,Sensor 9_5acf,29.4179032,Butternut_plot15,4.2,Sensor 9 butternut field ,,26,"{""type"":""Point"",""coordinates"":[29.4179032,-25.1681767]}",
27,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-22,33.10085067978878,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_5ACF,33.10085067978878,915.0,-25.1681767,Sensor 9_5acf,29.4179032,Butternut_plot15,4.2,Sensor 9 butternut field ,,27,"{""type"":""Point"",""coordinates"":[29.4179032,-25.1681767]}",
28,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-21,32.16358149363534,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_5ACF,32.16358149363534,915.0,-25.1681767,Sensor 9_5acf,29.4179032,Butternut_plot15,4.2,Sensor 9 butternut field ,,28,"{""type"":""Point"",""coordinates"":[29.4179032,-25.1681767]}",
29,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-17,11.92729407263602,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_5ACF,11.92729407263602,915.0,-25.1681767,Sensor 9_5acf,29.4179032,Butternut_plot15,4.2,Sensor 9 butternut field ,,29,"{""type"":""Point"",""coordinates"":[29.4179032,-25.1681767]}",
30,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-12-02,15.3351964292043,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_7AD6,15.3351964292043,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,30,"{""type"":""Point"",""coordinates"":[29.4182716,-25.1683183]}",
31,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-11-29,15.23954671708076,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_7AD6,15.23954671708076,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,31,"{""type"":""Point"",""coordinates"":[29.4182716,-25.1683183]}",
32,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-27,16.90270053426075,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_7AD6,16.90270053426075,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,32,"{""type"":""Point"",""coordinates"":[29.4182716,-25.1683183]}",
33,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-24,17.05737453637057,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_7AD6,17.05737453637057,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,33,"{""type"":""Point"",""coordinates"":[29.4182716,-25.1683183]}",
34,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-22,25.06560053479448,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_7AD6,25.06560053479448,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,34,"{""type"":""Point"",""coordinates"":[29.4182716,-25.1683183]}",
35,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-21,24.27494699514434,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_7AD6,24.27494699514434,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,35,"{""type"":""Point"",""coordinates"":[29.4182716,-25.1683183]}",
36,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-17,8.858615321247504,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_7AD6,8.858615321247504,920.5,-25.1683183,Sensor 18_7ad6,29.4182716,Butternut_plot15,4.4,Sensor 18 butternut field ,,36,"{""type"":""Point"",""coordinates"":[29.4182716,-25.1683183]}",
37,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-12-02,16.30879438919045,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_8121,16.30879438919045,924.4,-25.1682283,Sensor 12_8121,29.4179883,Butternut_plot15,3.9,Sensor 12 butternut field ,,37,"{""type"":""Point"",""coordinates"":[29.4179883,-25.1682283]}",
