Sheet,SensorID,Date,SoilMoisture_pct,Evelation,latitude,Location,longitude,PlotType,Precision_m,descrip,plot,_generic_id,geometry,WKT
Plot 15 sensors,_2C27,25-10-24,19.79923824378315,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,47,POINT (29.4180538 -25.1684023),POINT (29.418054 -25.168402)
Plot 15 sensors,_2C27,25-10-22,25.06560053479448,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,48,POINT (29.4180538 -25.1684023),POINT (29.418054 -25.168402)
Plot 15 sensors,_2C27,25-10-21,34.07398927743001,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,49,POINT (29.4180538 -25.1684023),POINT (29.418054 -25.168402)
Plot 15 sensors,_2C27,25-10-17,14.86269464095571,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,50,POINT (29.4180538 -25.1684023),POINT (29.418054 -25.168402)
Plot 15 sensors,_BEDA,25-12-02,14.00144149396363,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,51,POINT (29.4177817 -25.1680488),POINT (29.417782 -25.168049)
Plot 15 sensors,_BEDA,25-11-29,13.80648501709621,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,52,POINT (29.4177817 -25.1680488),POINT (29.417782 -25.168049)
Plot 15 sensors,_BEDA,25-10-27,19.72030539901379,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,53,POINT (29.4177817 -25.1680488),POINT (29.417782 -25.168049)
Plot 15 sensors,_BEDA,25-10-24,32.91031120324577,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,54,POINT (29.4177817 -25.1680488),POINT (29.417782 -25.168049)
Plot 15 sensors,_BEDA,25-10-21,31.98095446596793,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,55,POINT (29.4177817 -25.1680488),POINT (29.417782 -25.168049)
Plot 15 sensors,_BEDA,25-10-17,8.817382811521815,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,56,POINT (29.4177817 -25.1680488),POINT (29.417782 -25.168049)
Plot 15 sensors,_D86B,25-12-02,15.40883984052931,929.0,-25.1682852,Sensor 4_ d86b,29.4174856,Butternut_plot15,3.8,Sensor 4 d86b,,57,POINT (29.4174856 -25.1682852),POINT (29.417486 -25.168285)
Plot 15 sensors,_D86B,25-11-29,17.00529836934931,929.0,-25.1682852,Sensor 4_ d86b,29.4174856,Butternut_plot15,3.8,Sensor 4 d86b,,58,POINT (29.4174856 -25.1682852),POINT (29.417486 -25.168285)
Plot 15 sensors,_D86B,25-10-27,17.44344529679057,929.0,-25.1682852,Sensor 4_ d86b,29.4174856,Butternut_plot15,3.8,Sensor 4 d86b,,59,POINT (29.4174856 -25.1682852),POINT (29.417486 -25.168285)
Plot 15 sensors,_D86B,25-10-22,34.07398927743001,929.0,-25.1682852,Sensor 4_ d86b,29.4174856,Butternut_plot15,3.8,Sensor 4 d86b,,60,POINT (29.4174856 -25.1682852),POINT (29.417486 -25.168285)
Plot 15 sensors,_D86B,25-10-21,32.91031120324577,929.0,-25.1682852,Sensor 4_ d86b,29.4174856,Butternut_plot15,3.8,Sensor 4 d86b,,61,POINT (29.4174856 -25.1682852),POINT (29.417486 -25.168285)
Plot 15 sensors,_D86B,25-10-17,14.01837269527532,929.0,-25.1682852,Sensor 4_ d86b,29.4174856,Butternut_plot15,3.8,Sensor 4 d86b,,62,POINT (29.4174856 -25.1682852),POINT (29.417486 -25.168285)
Plot 15 sensors,_FDFD,25-12-02,16.97080775915879,929.0,-25.1680867,Sensor 2_Fdfd,29.417485,Butternut_plot15,4.2,Butternut sensor 2,,63,POINT (29.417485 -25.1680867),POINT (29.417485 -25.168087)
Plot 15 sensors,_FDFD,25-11-29,16.83573421657099,929.0,-25.1680867,Sensor 2_Fdfd,29.417485,Butternut_plot15,4.2,Butternut sensor 2,,64,POINT (29.417485 -25.1680867),POINT (29.417485 -25.168087)
Plot 15 sensors,_FDFD,25-10-27,11.11798371217593,929.0,-25.1680867,Sensor 2_Fdfd,29.417485,Butternut_plot15,4.2,Butternut sensor 2,,65,POINT (29.417485 -25.1680867),POINT (29.417485 -25.168087)
Plot 15 sensors,_FDFD,25-10-24,11.5666885206255,929.0,-25.1680867,Sensor 2_Fdfd,29.417485,Butternut_plot15,4.2,Butternut sensor 2,,66,POINT (29.417485 -25.1680867),POINT (29.417485 -25.168087)
Plot 15 sensors,_FDFD,25-10-22,12.1469040782115,929.0,-25.1680867,Sensor 2_Fdfd,29.417485,Butternut_plot15,4.2,Butternut sensor 2,,67,POINT (29.417485 -25.1680867),POINT (29.417485 -25.168087)
Plot 15 sensors,_FDFD,25-10-21,11.8417133288923,929.0,-25.1680867,Sensor 2_Fdfd,29.417485,Butternut_plot15,4.2,Butternut sensor 2,,68,POINT (29.417485 -25.1680867),POINT (29.417485 -25.168087)
Plot 15 sensors,_FDFD,25-10-17,10.02985937337797,929.0,-25.1680867,Sensor 2_Fdfd,29.417485,Butternut_plot15,4.2,Butternut sensor 2,,69,POINT (29.417485 -25.1680867),POINT (29.417485 -25.168087)
Plot 15 sensors,_229E,25-12-02,15.484180781236,920.5,-25.1682811,Sensor 14_229e,29.4180382,Butternut_plot15,4.825,Sensor 14 butternut field ,,70,POINT (29.4180382 -25.1682811),POINT (29.418038 -25.168281)
Plot 15 sensors,_229E,25-11-29,15.21607455084383,920.5,-25.1682811,Sensor 14_229e,29.4180382,Butternut_plot15,4.825,Sensor 14 butternut field ,,71,POINT (29.4180382 -25.1682811),POINT (29.418038 -25.168281)
Plot 15 sensors,_229E,25-10-27,23.848811131443,920.5,-25.1682811,Sensor 14_229e,29.4180382,Butternut_plot15,4.825,Sensor 14 butternut field ,,72,POINT (29.4180382 -25.1682811),POINT (29.418038 -25.168281)
